DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
22-May-26,Friday,May,Q2,2026,EQ,"1,350.00","1,367.40","1,349.10","1,349.60","1,358.00","1,354.50","1,357.24","1,611.80","1,290.00","71,05,813","9,64,43,25,563.80","1,63,887"
21-May-26,Thursday,May,Q2,2026,EQ,"1,367.20","1,370.90","1,345.20","1,359.70","1,349.00","1,349.60","1,352.83","1,611.80","1,290.00","1,71,50,630","23,20,18,23,031.70","2,75,605"
20-May-26,Wednesday,May,Q2,2026,EQ,"1,318.70","1,362.90","1,312.60","1,322.70","1,360.30","1,359.70","1,345.23","1,611.80","1,290.00","1,32,48,515","17,82,23,10,858.20","2,27,919"
19-May-26,Tuesday,May,Q2,2026,EQ,"1,338.70","1,344.00","1,318.40","1,335.90","1,322.80","1,322.70","1,332.15","1,611.80","1,290.00","2,16,65,501","28,86,16,86,347.30","3,39,757"
18-May-26,Monday,May,Q2,2026,EQ,"1,334.00","1,342.00","1,318.70","1,336.40","1,335.00","1,335.90","1,333.44","1,611.80","1,290.00","1,30,22,473","17,36,47,34,585.60","2,24,065"
15-May-26,Friday,May,Q2,2026,EQ,"1,356.80","1,364.80","1,329.20","1,361.80","1,339.00","1,336.40","1,339.37","1,611.80","1,290.00","1,99,76,192","26,75,55,67,751.40","2,76,450"
14-May-26,Thursday,May,Q2,2026,EQ,"1,365.20","1,378.00","1,358.40","1,358.80","1,368.50","1,361.80","1,365.93","1,611.80","1,290.00","1,73,03,059","23,63,46,93,081.40","3,12,686"
13-May-26,Wednesday,May,Q2,2026,EQ,"1,361.40","1,372.40","1,352.40","1,364.00","1,361.20","1,358.80","1,360.83","1,611.80","1,290.00","1,37,97,989","18,77,67,83,797.90","2,53,418"
12-May-26,Tuesday,May,Q2,2026,EQ,"1,392.00","1,393.50","1,360.30","1,388.20","1,366.50","1,364.00","1,375.76","1,611.80","1,290.00","2,43,57,500","33,50,99,95,739.50","4,05,245"
11-May-26,Monday,May,Q2,2026,EQ,"1,420.00","1,428.00","1,382.00","1,435.20","1,385.30","1,388.20","1,402.78","1,611.80","1,290.00","1,52,61,787","21,40,89,32,295.60","2,40,591"
08-May-26,Friday,May,Q2,2026,EQ,"1,426.00","1,442.80","1,417.50","1,436.20","1,436.00","1,435.20","1,428.37","1,611.80","1,290.00","86,63,105","12,37,41,31,086.60","1,73,992"
07-May-26,Thursday,May,Q2,2026,EQ,"1,438.80","1,449.50","1,430.30","1,437.90","1,435.50","1,436.20","1,438.64","1,611.80","1,290.00","1,98,16,903","28,50,93,73,904.50","2,86,996"
06-May-26,Wednesday,May,Q2,2026,EQ,"1,463.00","1,473.30","1,427.50","1,463.60","1,438.70","1,437.90","1,444.41","1,611.80","1,290.00","1,42,21,786","20,54,20,51,719.10","2,82,129"
05-May-26,Tuesday,May,Q2,2026,EQ,"1,460.00","1,473.40","1,450.00","1,463.10","1,462.50","1,463.60","1,461.45","1,611.80","1,290.00","2,35,43,341","34,40,75,23,385.10","3,12,401"
04-May-26,Monday,May,Q2,2026,EQ,"1,433.40","1,467.40","1,433.40","1,430.80","1,467.20","1,463.10","1,454.00","1,611.80","1,290.00","2,40,35,700","34,94,78,63,091.00","4,17,403"
30-Apr-26,Thursday,April,Q2,2026,EQ,"1,409.00","1,437.00","1,393.10","1,425.40","1,436.00","1,430.80","1,416.42","1,611.80","1,290.00","3,09,57,881","43,84,94,30,496.90","3,64,569"
29-Apr-26,Wednesday,April,Q2,2026,EQ,"1,392.00","1,433.80","1,391.30","1,388.90","1,430.00","1,425.40","1,418.23","1,611.80","1,290.00","3,05,42,143","43,31,58,58,969.90","3,77,101"
28-Apr-26,Tuesday,April,Q2,2026,EQ,"1,358.00","1,395.20","1,357.00","1,365.80","1,393.00","1,388.90","1,380.39","1,611.80","1,290.00","4,10,27,699","56,63,43,60,964.60","3,71,160"
27-Apr-26,Monday,April,Q2,2026,EQ,"1,313.00","1,371.60","1,311.00","1,327.80","1,370.00","1,365.80","1,346.48","1,611.80","1,290.00","2,46,73,098","33,22,17,15,766.80","3,01,732"
24-Apr-26,Friday,April,Q2,2026,EQ,"1,340.00","1,345.90","1,325.00","1,343.40","1,331.00","1,327.80","1,333.01","1,611.80","1,267.00","1,17,44,802","15,65,59,32,416.20","1,97,088"
23-Apr-26,Thursday,April,Q2,2026,EQ,"1,346.00","1,355.50","1,340.70","1,362.10","1,344.40","1,343.40","1,347.84","1,611.80","1,267.00","1,63,85,079","22,08,44,84,854.70","2,09,218"
22-Apr-26,Wednesday,April,Q2,2026,EQ,"1,350.30","1,366.00","1,349.10","1,353.30","1,362.00","1,362.10","1,360.40","1,611.80","1,267.00","95,25,953","12,95,91,00,398.90","1,53,909"
21-Apr-26,Tuesday,April,Q2,2026,EQ,"1,359.00","1,369.80","1,350.10","1,363.30","1,354.90","1,353.30","1,356.60","1,611.80","1,267.00","2,72,93,629","37,02,64,49,570.40","2,97,701"
20-Apr-26,Monday,April,Q2,2026,EQ,"1,363.20","1,373.00","1,352.80","1,365.00","1,361.10","1,363.30","1,365.92","1,611.80","1,267.00","1,36,14,733","18,59,65,70,380.60","2,40,331"
17-Apr-26,Friday,April,Q2,2026,EQ,"1,340.00","1,368.40","1,340.00","1,343.30","1,364.90","1,365.00","1,359.14","1,611.80","1,227.60","1,38,69,105","18,85,00,89,777.30","2,26,433"
